0;6;8;5;Таро, тебе нужно внимательнее анализировать информацию. Это точно не бандиты, а кто-то из спецподразделений.
1;0;0;4;Не думаю, что это кто-то серьёзный, раз позволяет себе общаться в такой манере.
0;6;8;3;Не стоило вообще отвечать ему. А ты ещё и бензина подлил.
0;6;8;3;Ты - наш передовой пилот. Ты должен быть сдержанным.
1;0;0;7;ИПИ, я всё ещё на взводе из-за моего положения. Да, я хороший пилот, но вот человек - обычный. Стоило дать мне время на осознание всего.
0;6;8;7;Таро, мы должны помогать друг другу. Мы мягче относимся к тебе, а тебе стоит серьёзнее относиться к делу. Ты ещё на службе.
1;0;0;4;Ты прав, но... мне бы правда, хотя-бы парочку дней побыть наедине с собой.
0;6;8;4;Я не могу повлиять на это. Сейчас оставлю тебя - выполняй приказ. 
0;6;8;3;А как вернёмся на базу - узнаем, во что мы ввязались.
1;0;0;0;Хорошо.
